Delta,Theta,Alpha,Beta,User_ID
4926577005415.85,465109867511.7389,154737870538.54703,68088779430.73134,U_5
4635012405095.954,456773340994.6697,153180394608.69852,67660726184.52932,U_5
4369064436770.6123,448661685391.5008,151647050450.5562,67237014453.17581,U_5
4125778300601.181,440766864761.2325,150137342072.77332,66817586013.4177,U_5
3902617210368.6104,433081199848.7779,148650786176.30524,66402383615.76298,U_5
3697392956277.289,425597349207.7553,147186911765.16248,65991350966.737526,U_5
3508209608777.5566,418308291480.5968,145745259773.53262,65584432708.28889,U_5
3333417591691.7446,411207308761.4624,144325382703.96994,65181574399.56738,U_5
3171575993963.985,404287970957.39484,142926844278.26117,64782722499.255615,U_5
3021421469212.8955,397544121081.8664,141549219102.37335,64387824346.92103,U_5
2881842436138.4937,390969861425.2635,140192092341.74954,63996828146.3285,U_5
2751857568833.175,384559540531.1102,138855059407.99338,63609682948.908775,U_5
2630597778422.531,378307740935.4751,137537725655.9419,63226338635.43794,U_5
2517291050958.2925,372209267611.37384,136239706092.55011,62846745902.003525,U_5
2411249633909.3545,366259137074.33936,134960625093.96739,62470856242.66268,U_5
2311859163202.52,360452567111.71936,133700116133.62021,62098621934.179855,U_5
2218569400732.341,354784967083.7288,132457821518.25848,61729996021.7049,U_5
2130886314424.7026,349251928769.6445,131233392134.40758,61364932303.43276,U_5
2048365282244.771,343849217720.8156,130026487200.95586,61003385315.76476,U_5
1970605240704.3896,338572765089.39197,128836774032.96057,60645310320.47336,U_5
1897243630263.047,333418659902.41113,127663927811.46725,60290663288.953445,U_5
1827952015450.637,328383141753.18066,126507631359.77507,59939400890.03541,U_5
1762432278320.3582,323462593886.11536,125367574930.63664,59591480477.17251,U_5
1700413300706.159,318653536649.94617,124243455997.80823,59246860074.542534,U_5
1641648064560.3933,313952621295.7692,123134979052.60036,58905498364.952484,U_5
1585911110993.705,309356624101.8374,122041855412.23894,58567354676.40184,U_5
1532996307970.9575,304862440803.0557,120963803030.05244,58232388972.27538,U_5
1482714884397.7659,300467081309.9218,119900546312.62527,57900561836.91653,U_5
1434893694730.361,296167664697.14795,118851815944.51591,57571834465.57851,U_5
1389373683591.0842,291961414447.8243,117817348716.24596,57246168653.524155,U_5
1346008524386.3528,287845653937.4027,116796887359.72629,56923526783.537155,U_5
1304663409649.3408,283817802145.5476,115790180386.86345,56603871815.681435,U_5
1265213974027.8247,279875369579.1533,114796981935.16385,56287167276.76197,U_5
1227545333470.6638,276015954400.3322,113817051617.753,55973377250.42821,U_5
1191551226453.1914,272237238743.64386,112850154376.03278,55662466366.73704,U_5
1157133245009.0212,268536985209.16483,111896060339.42645,55354399791.50453,U_5
1124200144928.403,264913033531.3784,110954544689.05025,55049143217.41843,U_5
1092667225931.2961,261363297402.8055,110025387523.37628,54746662854.17124,U_5
1062455773776.8773,257885761452.94455,109108373731.3728,54446925419.00576,U_5
1033492557323.2837,254478478369.38998,108203292867.10931,54149898127.126465,U_5
1005709374388.6729,251139566153.11606,107309939027.85933,53855548684.96424,U_5
979042641091.8317,247867205503.84995,106428110738.47298,53563845279.499214,U_5
953433019935.0803,244659637328.4107,105557610836.7654,53274756569.01047,U_5
928825082510.9816,241515160359.58408,104698246362.79749,52988251677.021736,U_5
905167003168.3738,238432128887.31894,103849828451.92867,52704300181.28103,U_5
882410280439.5527,235408950593.7385,103012172231.19707,52422872108.76362,U_5
860509483364.3928,232444084484.0204,102185096718.77487,52143937925.36876,U_5
235098890234021.03,703987663.6837168,176895342.9140105,68968867.22277889,U_6
247977508452156.03,686978586.5810812,174795378.85850766,68483506.06742157,U_6
213363409312212.16,670584412.6268201,172733442.20080212,68003572.65767802,U_6
149497048188517.06,654775734.7705702,170708620.06722146,67528986.04956697,U_6
16435104418950.695,639524888.405215,168720026.1187425,67059667.47907608,U_6
54919230381.007835,624805833.5328147,166766801.1384328,66595539.32796315,U_6
